Lionel Messi,FC Barcelona | Liga BBVA,RW,94
Frank Lampard,NY City FC | MLS,CM,79
FakePlayer,FUT UNICEF | FUT UNICEF,RB,78
Formosandrinho,Vasco da Gama | None,ST,78
Nicholas Aldair,Atlético Mineiro | None,ST,78
Fábio Melitinho,Internacional | None,CAM,78
David Seijalbo,Atlético Mineiro | None,CDM,78
Sidney Pessinho,Santos | None,CDM,78
Josué Chiamulera,Atlético Mineiro | None,CB,78
Eltildo Correia,Santos | None,CB,78
Caio Nunson,Palmeiras | Brazil Campeonato Brasileiro (1),CB,78
Juiano Mestres,Internacional | None,CB,78
Gazzolisco,Grêmio | None,LB,78
Danilo,Valencia CF | Liga BBVA,CDM,78
Islam Slimani,Sporting CP | Primeira Liga,ST,78
Rafa,SC Braga | Primeira Liga,LM,78
José María Giménez,Atlético Madrid | Liga BBVA,CB,78
Felipe Pardo,Olympiakos CFP | Hellas Liga,RW,78
João Mário,Sporting CP | Primeira Liga,CM,78
Niklas Süle,1899 Hoffenheim | Bundesliga,CB,78
Maximilian Meyer,FC Schalke 04 | Bundesliga,CAM,78
Sofiane Boufal,LOSC Lille | Ligue 1,CAM,78
Daniele Rugani,Juventus | Serie A,CB,78
Paulo Dybala,Juventus | Serie A,ST,78
Juan Fernando Quintero,FC Porto | Primeira Liga,CAM,78
Fabian Schär,1899 Hoffenheim | Bundesliga,CB,78
Abdul Rahman Baba,Chelsea | Barclays PL,LB,78
Fabinho,AS Monaco | Ligue 1,RB,78
Nabil Ghilas,Levante UD | Liga BBVA,ST,78
Fred,FC Shakhtar | Ukrayina Liha,CM,78
Sadio Mané,Southampton | Barclays PL,CF,78
Yannick Ferreira Carrasco,Atlético Madrid | Liga BBVA,LM,78
Hakan Çalhanoğlu,Bayer 04 | Bundesliga,CAM,78
Mateo Kovačić,Real Madrid | Liga BBVA,CM,78
Eduardo Vargas,1899 Hoffenheim | Bundesliga,RM,78
Moi Gómez,Getafe CF | Liga BBVA,LM,78
Denis Cheryshev,Real Madrid | Liga BBVA,LM,78
Jetro Willems,PSV | Eredivisie,LB,78
Bernard,FC Shakhtar | Ukrayina Liha,CAM,78
Daniele Baselli,Torino | Serie A,CM,78
Ewerton,Sporting CP | Primeira Liga,CB,78
Denis Suarez,Sevilla FC | Liga BBVA,CAM,78
Víctor Ibarbo,Roma | Serie A,RW,78
Michy Batshuayi,Marseille | Ligue 1,ST,78
Lassane Bangoura,Rayo Vallecano | Liga BBVA,RM,78
Thorgan Hazard,Bor. M&#39;gladbach | Bundesliga,LM,78
Simone Zaza,Juventus | Serie A,ST,78
Jesé,Real Madrid | Liga BBVA,LM,78
Deulofeu,Everton | Barclays PL,RM,78
Harry Kane,Spurs | Barclays PL,ST,78
Federico Fernández,Swansea City | Barclays PL,CB,78
Gastón Ramírez,Southampton | Barclays PL,CAM,78
Geoffrey Kondogbia,Inter | Serie A,CDM,78
Faouzi Ghoulam,Napoli | Serie A,LB,78
Samuel,Villarreal CF | Liga BBVA,RM,78
Gabriel,Arsenal | Barclays PL,CB,78
Cédric,Southampton | Barclays PL,RB,78
Kalidou Koulibaly,Napoli | Serie A,CB,78
Josip Iličić,Fiorentina | Serie A,CF,78
André André,FC Porto | Primeira Liga,CM,78
Sergi Roberto,FC Barcelona | Liga BBVA,CM,78
Wissam Ben Yedder,Toulouse FC | Ligue 1,ST,78
Jordy Clasie,Southampton | Barclays PL,CDM,78
Charles Aránguiz,Bayer 04 | Bundesliga,CM,78
Manolo Gabbiadini,Napoli | Serie A,CAM,78
Tomás Pina,Villarreal CF | Liga BBVA,CM,78
Josuha Guilavogui,VfL Wolfsburg | Bundesliga,CDM,78
Papy Mison Djilobodji,FC Nantes | Ligue 1,CB,78
Nicolás Lodeiro,Boca Juniors | Primera División,CAM,78
Daniel Caligiuri,VfL Wolfsburg | Bundesliga,LM,78
Mexer,Stade Rennais | Ligue 1,CB,78
Yaroslav Rakitskyi,FC Shakhtar | Ukrayina Liha,CB,78
Baena,Rayo Vallecano | Liga BBVA,CDM,78
Shinji Okazaki,Leicester City | Barclays PL,ST,78
Hugo Mallo,Celta Vigo | Liga BBVA,RB,78
Mattia Destro,Bologna | Serie B,ST,78
Miguel Rosa,Belenenses | Primeira Liga,LM,78
Iago Aspas,Celta Vigo | Liga BBVA,ST,78
José Cañas,RCD Espanyol | Liga BBVA,CDM,78
Alexandr Kokorin,Dinamo Moskva | Russian League,ST,78
Fredy Montero,Sporting CP | Primeira Liga,ST,78
Álvaro Domínguez,Bor. M&#39;gladbach | Bundesliga,CB,78
Fernandão,Fenerbahçe SK | Süper Lig,ST,78
Mehmet Ekici,Trabzonspor | Süper Lig,CAM,78
Susaeta,Athletic Bilbao | Liga BBVA,RW,78
Francis Coquelin,Arsenal | Barclays PL,CDM,78
Stefan Reinartz,Eint. Frankfurt | Bundesliga,CDM,78
Giacomo Bonaventura,Milan | Serie A,CM,78
Aleksandar Dragović,NG - FA | Free Agents League,CB,78
Thomas Heurtaux,Udinese | Serie A,CB,78
Senad Lulić,Lazio | Serie A,CM,78
Bruno Ecuélé Manga,Cardiff City | FL Championship,CB,78
Clément Grenier,Olympique Lyon | Ligue 1,CAM,78
Mame Diouf,Stoke City | Barclays PL,ST,78
Yann M&#39;Vila,Sunderland | Barclays PL,CDM,78
Bernardo,Sporting Gijón | Liga Adelante,CB,78
Ivelin Popov,Spartak Moskva | Russian League,CAM,78
Gylfi Sigurðsson,Swansea City | Barclays PL,CAM,78
Jonathan Biabiany,Inter | Serie A,RW,78
Marko Arnautović,Stoke City | Barclays PL,LM,78
Gregory van der Wiel,PSG | Ligue 1,RB,78
Ibrahima Traoré,Bor. M&#39;gladbach | Bundesliga,RM,78
Claudio Yacob,West Brom | Barclays PL,CDM,78
Anthony Mounier,Montpellier HSC | Ligue 1,LW,78
Eric Maxim Choupo-Moting,FC Schalke 04 | Bundesliga,ST,78
Konstantinos Mitroglou,SL Benfica | Primeira Liga,ST,78
Moussa Sissoko,Newcastle Utd | Barclays PL,CAM,78
Adil Rami,Sevilla FC | Liga BBVA,CB,78
Valentin Stocker,Hertha BSC | Bundesliga,CAM,78
Nordin Amrabat,Málaga CF | Liga BBVA,ST,78
Andy Carroll,West Ham | Barclays PL,ST,78
Anthony Modeste,1. FC Köln | Bundesliga,ST,78
Andrea Ranocchia,Inter | Serie A,CB,78
Mapou Yanga-M&#39;Biwa,Olympique Lyon | Ligue 1,CB,78
Dame N&#39;Doye,Trabzonspor | Süper Lig,ST,78
Federico Fazio,Spurs | Barclays PL,CB,78
Óscar Cardozo,Trabzonspor | Süper Lig,ST,78
Youssouf Mulumbu,Norwich City | FL Championship,CDM,78
Moustapha Sall,Saint-Etienne | Ligue 1,CB,78
Mosquera,RC Deportivo | Liga BBVA,CDM,78
Pablo Daniel Osvaldo,FC Porto | Primeira Liga,ST,78
Cristian Zapata,Milan | Serie A,CB,78
Papiss Demba Cissé,Newcastle Utd | Barclays PL,ST,78
Weligton,Málaga CF | Liga BBVA,CB,78
Marouane Fellaini,Manchester Utd | Barclays PL,CM,78
Marcus Berg,Panathinaikos | Hellas Liga,ST,78
Pontus Wernbloom,CSKA Moskva | Russian League,CDM,78
Adrián Ramos,Bor. Dortmund | Bundesliga,ST,78
Winston Reid,West Ham | Barclays PL,CB,78
Kevin-Prince Boateng,FC Schalke 04 | Bundesliga,CM,78
Siqueira,Atlético Madrid | Liga BBVA,LB,78
Luca Cigarini,Atalanta | Serie A,CM,78
Varela,FC Porto | Primeira Liga,LW,78
Moussa Sow,Fenerbahçe SK | Süper Lig,LM,78
Diego Valeri,Portland | MLS,CAM,78
José María Basanta,Fiorentina | Serie A,CB,78
De la Bella,Real Sociedad | Liga BBVA,LB,78
Caner Erkin,Fenerbahçe SK | Süper Lig,LB,78
Jonathan dos Santos,Villarreal CF | Liga BBVA,RM,78
Ryan Bertrand,Southampton | Barclays PL,LB,78
Jonny Evans,Manchester Utd | Barclays PL,CB,78
Rafinha,FC Bayern | Bundesliga,RB,78
Ignazio Abate,Milan | Serie A,RB,78
Federico Higuaín,Columbus Crew | MLS,CAM,78
Roman Shishkin,Lokomotiv | Russian League,RB,78
Alan Kasaev,Lokomotiv | Russian League,LM,78
Danilo,Udinese | Serie A,CB,78
Adam Johnson,Sunderland | Barclays PL,RM,78
Eugen Polanski,1899 Hoffenheim | Bundesliga,CDM,78
Lior Refaelov,Club Brugge | Pro League,RW,78
Nicolas Lombaerts,Zenit | Russian League,CB,78
Oleksandr Kucher,FC Shakhtar | Ukrayina Liha,CB,78
Jesús Gámez,Atlético Madrid | Liga BBVA,LB,78
Michael Krohn-Dehli,Sevilla FC | Liga BBVA,CM,78
Christian Gentner,VfB Stuttgart | Bundesliga,CM,78
Scott Dann,Crystal Palace | Barclays PL,CB,78
Yuriy Zhirkov,Dinamo Moskva | Russian League,LM,78
Hilton,Montpellier HSC | Ligue 1,CB,78
Mario Gomez,Beşiktaş JK | Süper Lig,ST,78
Xabi Prieto,Real Sociedad | Liga BBVA,RW,78
Mikel Rico,Athletic Bilbao | Liga BBVA,CM,78
Ikechukwu Uche,Tigres | LIGA Bancomer MX,ST,78
José Sosa,Beşiktaş JK | Süper Lig,CAM,78
Germán Denis,Atalanta | Serie A,ST,78
Esteban Cambiasso,Olympiakos CFP | Hellas Liga,CM,78
Robert Huth,Leicester City | Barclays PL,CB,78
Lee Dong Gook,Jeonbuk FC | K LEAGUE,ST,78
Lorik Cana,Lazio | Serie A,CB,78
Kolo Touré,Liverpool | Barclays PL,CB,78
Reyes,Sevilla FC | Liga BBVA,RM,78
Emiliano Moretti,Torino | Serie A,CB,78
Christopher Samba,Dinamo Moskva | Russian League,CB,78
Jonas Olsson,West Brom | Barclays PL,CB,78
Rafael van der Vaart,Real Betis | Liga Adelante,CM,78
Kim Källström,Grasshopper | Raiffeisen SL,CM,78
Dirk Kuyt,Feyenoord | Eredivisie,RW,78
Scott Parker,Fulham | FL Championship,CDM,78
Ricardo Carvalho,AS Monaco | Ligue 1,CB,78
Hélton Celanova,Fluminense | None,ST,77
Alvildo Sousa,Ponte Preta | None,CAM,77
Ailton Guevara,Atlético Paranaense | None,CAM,77
Paolito Serra,Atlético Mineiro | None,CB,77
Kaimo Lima,Fluminense | None,CB,77
Jesus Andradaldo,Atlético Mineiro | None,RB,77
Emerson Avintes,Atlético Paranaense | None,CAM,77
Rosberto Dourado,Santos | None,CDM,77
Juli Freitinho,Grêmio | None,CB,77
Osvaldo Lodeiro,Vasco da Gama | None,CB,77
Antônio Chiamuloira,Santos | None,CB,77
Jony,Sporting Gijón | Liga Adelante,LM,77
Corentin Tolisso,Olympique Lyon | Ligue 1,CM,77
Pedro Tiba,SC Braga | Primeira Liga,CM,77
Fábio Sturgeon,Belenenses | Primeira Liga,RM,77
Morales,Levante UD | Liga BBVA,LM,77
Wendell,Bayer 04 | Bundesliga,LB,77
Pablo Pérez,Boca Juniors | Primera División,CM,77
Lisandro López,SL Benfica | Primeira Liga,CB,77
Diego Rolán,Bordeaux | Ligue 1,ST,77
Sven van Beek,Feyenoord | Eredivisie,CB,77
Leonel Vangioni,River Plate | Primera División,LB,77
Anderson Talisca,SL Benfica | Primeira Liga,CAM,77
Ali Ghazal,CD Nacional | Primeira Liga,CDM,77
Nacho,Rayo Vallecano | Liga BBVA,LB,77
Lazar Marković,Liverpool | Barclays PL,RM,77
André Hahn,Bor. M&#39;gladbach | Bundesliga,RM,77
Anthony Martial,AS Monaco | Ligue 1,ST,77
Alexandru Maxim,VfB Stuttgart | Bundesliga,CAM,77
Chancel Mbemba,Newcastle Utd | Barclays PL,CB,77
Morgan Sanson,Montpellier HSC | Ligue 1,CM,77
Samu Castillejo,Villarreal CF | Liga BBVA,LM,77
Kevin Wimmer,Spurs | Barclays PL,CB,77
Hakim Ziyech,FC Twente | Eredivisie,CAM,77
Filip Kostić,VfB Stuttgart | Bundesliga,LM,77
Giancarlo González,Palermo | Serie A,CB,77
Jonas Hector,1. FC Köln | Bundesliga,LB,77
Joël Veltman,Ajax | Eredivisie,CB,77
Matthias Ginter,Bor. Dortmund | Bundesliga,CB,77
Maximilian Arnold,VfL Wolfsburg | Bundesliga,CM,77
Taras Stepanenko,FC Shakhtar | Ukrayina Liha,CDM,77
João Pereira,Sporting CP | Primeira Liga,RB,77
Luke Shaw,Manchester Utd | Barclays PL,LB,77
Vlad Chiricheş,Napoli | Serie A,CB,77
Lucas Ocampos,Marseille | Ligue 1,RW,77
Rúben Ferreira,CS Marítimo | Primeira Liga,LB,77
Jorginho,Napoli | Serie A,CDM,77
Santiago Gentiletti,Lazio | Serie A,CB,77
Marcelo,Rio Ave FC | Primeira Liga,CB,77
Arkadiusz Milik,Ajax | Eredivisie,ST,77
Ricardo Álvarez,Inter | Serie A,RM,77
Diogo Figueiras,Genoa | Serie A,RB,77
Kurt Zouma,Chelsea | Barclays PL,CB,77
Jores Okore,Aston Villa | Barclays PL,CB,77
Viktor Fischer,Ajax | Eredivisie,LW,77
Eric Botteghin,Feyenoord | Eredivisie,CB,77
John Stones,Everton | Barclays PL,CB,77
Alessandro Florenzi,Roma | Serie A,RB,77
Virgil van Dijk,Celtic | Scottish Prem,CB,77
Thievy Bifouma,Granada CF | Liga BBVA,ST,77
Jannik Vestergaard,Werder Bremen | Bundesliga,CB,77
Stefano Sturaro,Juventus | Serie A,CM,77
Salif Sané,Hannover 96 | Bundesliga,CDM,77
Ermin Bičakčić,1899 Hoffenheim | Bundesliga,CB,77
David López,Napoli | Serie A,CDM,77
Jeison Murillo,Inter | Serie A,CB,77
Milan Badelj,Fiorentina | Serie A,CDM,77
Lorenzo Tonelli,Empoli | Serie A,CB,77
Casemiro,Real Madrid | Liga BBVA,CDM,77
Aras Özbiliz,Spartak Moskva | Russian League,RW,77
Heung Min Son,Bayer 04 | Bundesliga,LM,77
Marco Matias,Sheffield Wed | FL Championship,LW,77
Pablo Hernández,Celta Vigo | Liga BBVA,CM,77
Dennis Praet,RSC Anderlecht | Pro League,CAM,77
Montañés,RCD Espanyol | Liga BBVA,LM,77
Ibai Gómez,Athletic Bilbao | Liga BBVA,LW,77
Nicolas Pallois,Bordeaux | Ligue 1,CB,77
Timm Klose,VfL Wolfsburg | Bundesliga,CB,77
Juan Manuel Iturbe,Roma | Serie A,RW,77
Wilfried Zaha,Crystal Palace | Barclays PL,RW,77
Josip Drmić,Bor. M&#39;gladbach | Bundesliga,ST,77
Benjamin Stambouli,PSG | Ligue 1,CDM,77
Marco Höger,FC Schalke 04 | Bundesliga,CM,77
Arribas,RC Deportivo | Liga BBVA,CB,77
Giannelli Imbula,FC Porto | Primeira Liga,CM,77
Oğuzhan Özyakup,Beşiktaş JK | Süper Lig,CM,77
Charlie Austin,QPR | Barclays PL,ST,77
Kevin Kampl,Bor. Dortmund | Bundesliga,RM,77
Jeffrey Bruma,PSV | Eredivisie,CB,77
Leonardo,Jeonbuk FC | K LEAGUE,LM,77
Hernán Pérez,RCD Espanyol | Liga BBVA,RM,77
André Pinto,SC Braga | Primeira Liga,CB,77
Steven Caulker,Southampton | Barclays PL,CB,77
Haris Seferović,Eint. Frankfurt | Bundesliga,ST,77
Jaume Costa,Villarreal CF | Liga BBVA,LB,77
Jesús Corona,FC Twente | Eredivisie,RW,77
Cenk Tosun,Beşiktaş JK | Süper Lig,ST,77
Guram Kashia,Vitesse | Eredivisie,CB,77
Allan-Roméo Nyom,Watford | FL Championship,RB,77
Sebastian Jung,VfL Wolfsburg | Bundesliga,RB,77
Maxime Lestienne,PSV | Eredivisie,LW,77
Daniel Ginczek,VfB Stuttgart | Bundesliga,ST,77
Luciano Narsingh,PSV | Eredivisie,RW,77
Andrea Bertolacci,Milan | Serie A,CM,77
Pedro Morales,Whitecaps FC | MLS,CAM,77
Sébastien Corchia,LOSC Lille | Ligue 1,RB,77
Osvaldo Alonso,Sounders FC | MLS,CDM,77
Tolgay Ali Arslan,Beşiktaş JK | Süper Lig,CM,77
Xandão,Kuban Krasnodar | Russian League,CB,77
Etxeita,Athletic Bilbao | Liga BBVA,CB,77
Tom Cleverley,Everton | Barclays PL,CM,77
Marko Vejinović,Feyenoord | Eredivisie,CM,77
Rafael,Olympique Lyon | Ligue 1,RB,77
Victor Vazquez,Club Brugge | Pro League,CAM,77
Olcay Şahan,Beşiktaş JK | Süper Lig,LM,77
Souza,Fenerbahçe SK | Süper Lig,CDM,77
Sebastian Rudy,1899 Hoffenheim | Bundesliga,CM,77
Jonjo Shelvey,Swansea City | Barclays PL,CM,77
Volkan Şen,Fenerbahçe SK | Süper Lig,RM,77
Victor Wanyama,Southampton | Barclays PL,CDM,77
Mirko Valdifiori,Napoli | Serie A,CDM,77
Miguel Lopes,Granada CF | Liga BBVA,RB,77
Marcel Schmelzer,Bor. Dortmund | Bundesliga,LB,77
Alberto Costa,Genoa | Serie A,CM,77
Admir Mehmedi,Bayer 04 | Bundesliga,CF,77
Cheick Diabaté,Bordeaux | Ligue 1,ST,77
Douglas,Dinamo Moskva | Russian League,CB,77
Daryl Janmaat,Newcastle Utd | Barclays PL,RB,77
Aatif Chahechouhe,Sivasspor | Süper Lig,CAM,77
Wanderson,FC Krasnodar | Russian League,ST,77
Mauricio Isla,Juventus | Serie A,RB,77
Omar El Kaddouri,Napoli | Serie A,CM,77
Christian Noboa,FC Rostov | Russian League,CDM,77
Henrique,Napoli | Serie A,CB,77
Carlos Zambrano,Eint. Frankfurt | Bundesliga,CB,77
Alberto Paloschi,Chievo Verona | Serie A,ST,77
Jefferson Montero,Swansea City | Barclays PL,LW,77
Geoff Cameron,Stoke City | Barclays PL,CB,77
Keisuke Honda,Milan | Serie A,RW,77
Siem de Jong,Newcastle Utd | Barclays PL,CAM,77
Manucho,Rayo Vallecano | Liga BBVA,ST,77
Andrea Poli,Milan | Serie A,CM,77
Mariano,Sevilla FC | Liga BBVA,RB,77
Joe Allen,Liverpool | Barclays PL,CM,77
Fabian Delph,Manchester City | Barclays PL,CM,77
Ljubomir Fejsa,SL Benfica | Primeira Liga,CDM,77
Henri Saivet,Bordeaux | Ligue 1,CM,77
Paulo Vinícius,Boavista | Primeira Liga,CB,77
Raúl Bobadilla,FC Augsburg | Bundesliga,ST,77
Ciaran Clark,Aston Villa | Barclays PL,CB,77
Carlos Sánchez,Aston Villa | Barclays PL,CDM,77
Jose Holebas,Watford | FL Championship,LB,77
Ki Sung Yueng,Swansea City | Barclays PL,CM,77
Marko Marin,Trabzonspor | Süper Lig,CAM,77
Alessio Cerci,Milan | Serie A,CF,77
Etienne Capoue,Watford | FL Championship,CDM,77
Sergio Sánchez,Panathinaikos | Hellas Liga,CB,77
Milan Biševac,Olympique Lyon | Ligue 1,CB,77
Bueno,FC Porto | Primeira Liga,CAM,77
Sidney Sam,FC Schalke 04 | Bundesliga,RM,77
Martin Harnik,VfB Stuttgart | Bundesliga,RM,77
Jonathan De Guzmán,Napoli | Serie A,CAM,77
Alessandro Matri,Milan | Serie A,ST,77
Stefan Aigner,Eint. Frankfurt | Bundesliga,RM,77
Juan Camilo Zúñiga,Napoli | Serie A,LB,77
Ignacio Piatti,Montreal Impact | MLS,CAM,77
Niko Bungert,1. FSV Mainz 05 | Bundesliga,CB,77
Baiano,SC Braga | Primeira Liga,RB,77
Matías Fernández,Fiorentina | Serie A,CM,77
Marcano,FC Porto | Primeira Liga,CB,77
Luca Antonelli,Milan | Serie A,LB,77
Óscar Trejo,Toulouse FC | Ligue 1,CAM,77
Marco Andreolli,Inter | Serie A,CB,77
Daniel Wass,Celta Vigo | Liga BBVA,RM,77
Steven Defour,RSC Anderlecht | Pro League,CM,77
José Enrique,Liverpool | Barclays PL,LB,77
Lorenzo De Silvestri,Sampdoria | Serie A,RB,77
Jay Rodriguez,Southampton | Barclays PL,LM,77
Jack Cork,Swansea City | Barclays PL,CDM,77
Lee Cattermole,Sunderland | Barclays PL,CDM,77
Danny Rose,Spurs | Barclays PL,LB,77
Taisir Al Jassim,Al-Ahli | ALJ League,CM,77
Ari,FC Krasnodar | Russian League,ST,77
Semih Kaya,Galatasaray SK | Süper Lig,CB,77
Cyril Théréau,Udinese | Serie A,ST,77
Dennis Aogo,FC Schalke 04 | Bundesliga,LB,77
John Obi Mikel,Chelsea | Barclays PL,CDM,77
Graziano Pellè,Southampton | Barclays PL,ST,77
Curtis Davies,Hull City | Barclays PL,CB,77
Stéphane Sessègnon,West Brom | Barclays PL,CAM,77
Jérémy Clément,Saint-Etienne | Ligue 1,CDM,77
Bafétimbi Gomis,Swansea City | Barclays PL,ST,77
Pirmin Schwegler,1899 Hoffenheim | Bundesliga,CDM,77
Ibrahim Afellay,Stoke City | Barclays PL,LW,77
Salomon Kalou,Hertha BSC | Bundesliga,ST,77
Aaron Hunt,VfL Wolfsburg | Bundesliga,CAM,77
Manuel Fernandes,Lokomotiv | Russian League,CDM,77
Héctor Herrera,FC Porto | Primeira Liga,CM,77
Manuel Pasqual,Fiorentina | Serie A,LB,77
Rafael Sóbis,Tigres | LIGA Bancomer MX,CF,77
Aaron Lennon,Spurs | Barclays PL,RM,77
Lukas Podolski,Galatasaray SK | Süper Lig,LM,77
Paul Verhaegh,FC Augsburg | Bundesliga,RB,77
Gökhan Gönül,Fenerbahçe SK | Süper Lig,RB,77
Leandro Romagnoli,San Lorenzo | Primera División,CAM,77
Lucho González,River Plate | Primera División,CM,77
Verza,Levante UD | Liga BBVA,CDM,77
Ragnar Klavan,FC Augsburg | Bundesliga,CB,77
Leon Britton,Swansea City | Barclays PL,CM,77
Boštjan Cesar,Chievo Verona | Serie A,CB,77
Alejandro Domínguez,Olympiakos CFP | Hellas Liga,CAM,77
Maxi López,Torino | Serie A,ST,77
Issa Cissokho,Genoa | Serie A,RB,77
Glen Johnson,Stoke City | Barclays PL,RB,77
Alessandro Gazzi,Torino | Serie A,CDM,77
Giampaolo Pazzini,Hellas Verona | Serie A,ST,77
Roberto Hilbert,Bayer 04 | Bundesliga,RB,77
Atiba Hutchinson,Beşiktaş JK | Süper Lig,CDM,77
Emil Hallfreðsson,Hellas Verona | Serie A,CM,77
Michael Dawson,Hull City | Barclays PL,CB,77
Jermaine Jones,New England | MLS,CDM,77
Sergey Ignashevich,CSKA Moskva | Russian League,CB,77
Maximiliano Rodríguez,Newell&#39;s | Primera División,LW,77
Hamit Altıntop,Galatasaray SK | Süper Lig,CDM,77
Jaime Valdés,Colo-Colo | Camp. Scotiabank,CM,77
Fernando Navarro,RC Deportivo | Liga BBVA,LB,77
Steven Pienaar,Everton | Barclays PL,LM,77
Ashley Cole,Roma | Serie A,LB,77
Sylvain Distin,Bournemouth | FL Championship,CB,77
David Pizarro,Wanderers | Camp. Scotiabank,CM,77
Luca Toni,Hellas Verona | Serie A,ST,77
Alessandro Gamberini,Chievo Verona | Serie A,CB,77
FakePlayer,FUT UNICEF | FUT UNICEF,CB,76
FakePlayer,FUT UNICEF | FUT UNICEF,LM,76
Jadson Vidigal,Santos | None,ST,76
Dênildo Stein,Ponte Preta | None,ST,76
Luimo Boas Santos,Internacional | None,ST,76
Leo Caldeirinha,Atlético Paranaense | None,CAM,76
Edercinho Sepa,Atlético Mineiro | None,CDM,76
Davi Parrela,Ponte Preta | None,CB,76
Vieirundinho,Coritiba | None,CB,76
Everticinho,Fluminense | None,RB,76
Welington Dano,Vasco da Gama | None,LB,76
Evandro Rochedo,Atlético Mineiro | None,ST,76
Mauro Riboas,Atlético Mineiro | None,CAM,76
Nicolás Formido,Ponte Preta | None,CAM,76
Sebas Couteira,Coritiba | None,CAM,76
Clayton Fildeiras,Ponte Preta | None,CDM,76
Breno Bemposta,Vasco da Gama | None,CDM,76
Kel Perinho,Internacional | None,CB,76
Alexo Baia,Grêmio | None,RB,76
Enaldo Praz,Palmeiras | Brazil Campeonato Brasileiro (1),LB,76
Ronaldo Esler,Internacional | None,LB,76
João Afonso,Vit. Guimarães | Primeira Liga,CB,76
Ozan Tufan,Fenerbahçe SK | Süper Lig,CDM,76
Yusuf Erdoğan,Trabzonspor | Süper Lig,LW,76
Bernard Mensah,Getafe CF | Liga BBVA,CAM,76
Breel Donald Embolo,FC Basel | Raiffeisen SL,ST,76
Enner Valencia,West Ham | Barclays PL,ST,76
Carlos Mané,Sporting CP | Primeira Liga,LM,76
Anwar El Ghazi,Ajax | Eredivisie,RW,76
Youri Tielemans,RSC Anderlecht | Pro League,CM,76
N&#39;Golo Kanté,Leicester City | Barclays PL,CM,76
Balde Diao Keita,Lazio | Serie A,LW,76
Aleksandar Mitrović,Newcastle Utd | Barclays PL,ST,76
Deyverson,Levante UD | Liga BBVA,ST,76
Rúben Vezo,Valencia CF | Liga BBVA,CB,76
Duván Zapata,Udinese | Serie A,ST,76
Julio Buffarini,San Lorenzo | Primera División,RB,76
Ángel Correa,Atlético Madrid | Liga BBVA,ST,76
Divock Origi,Liverpool | Barclays PL,ST,76
Hernâni,FC Porto | Primeira Liga,RW,76
Josué,Vit. Guimarães | Primeira Liga,CB,76
Rodrigo De Paul,Valencia CF | Liga BBVA,LM,76
Alex Telles,Galatasaray SK | Süper Lig,LB,76
Pedro Franco,Beşiktaş JK | Süper Lig,CB,76
Ivan Cavaleiro,AS Monaco | Ligue 1,LM,76
Tobias Figueiredo,Sporting CP | Primeira Liga,CB,76
Bruma,Real Sociedad | Liga BBVA,RM,76
Víctor Rodríguez,Getafe CF | Liga BBVA,RM,76
Jonas Hofmann,Bor. Dortmund | Bundesliga,RM,76
Hiroshi Kiyotake,Hannover 96 | Bundesliga,LM,76
Adrien Rabiot,PSG | Ligue 1,CM,76
Raphaël Guerreiro,FC Lorient | Ligue 1,LM,76
Lucas Silva,Marseille | Ligue 1,CDM,76
Dimitris Siovas,Olympiakos CFP | Hellas Liga,CB,76
José Juan Vázquez,Club León | LIGA Bancomer MX,CDM,76
Mohammed Al Sahlawi,Al-Nassr | ALJ League,ST,76
Lucas Vázquez,Real Madrid | Liga BBVA,RM,76
Saúl,Atlético Madrid | Liga BBVA,CDM,76
Erik Durm,Bor. Dortmund | Bundesliga,LB,76
Jordan Ferri,Olympique Lyon | Ligue 1,CM,76
Mattia De Sciglio,Milan | Serie A,LB,76
Ben Davies,Spurs | Barclays PL,LB,76
Christian Atsu,Bournemouth | FL Championship,LW,76
Carlos Sánchez,River Plate | Primera División,RM,76
Antonio Rüdiger,Roma | Serie A,CB,76
Florian Thauvin,Newcastle Utd | Barclays PL,RM,76
Benjamin Mendy,Marseille | Ligue 1,LB,76
Raúl Jiménez,SL Benfica | Primeira Liga,ST,76
Joel Campbell,Arsenal | Barclays PL,RM,76
Mário Rui,Empoli | Serie A,LB,76
Luís Neto,Zenit | Russian League,CB,76
Saido Berahino,West Brom | Barclays PL,ST,76
Santiago Arias,PSV | Eredivisie,RB,76
John Brooks,Hertha BSC | Bundesliga,CB,76
Gabriel Hauche,Tijuana | LIGA Bancomer MX,LW,76
Damián Suárez,Getafe CF | Liga BBVA,RB,76
Zé Luís,Spartak Moskva | Russian League,ST,76
Terence Kongolo,Feyenoord | Eredivisie,CB,76
Valère Germain,OGC Nice | Ligue 1,ST,76
Robin Knoche,VfL Wolfsburg | Bundesliga,CB,76
Sergi Darder,Málaga CF | Liga BBVA,CDM,76
Fernando,Sampdoria | Serie A,CDM,76
Jasmin Kurtić,Atalanta | Serie A,CDM,76
Ahmed Musa,CSKA Moskva | Russian League,ST,76
Jordan Veretout,Aston Villa | Barclays PL,CM,76
Vladimir Darida,Hertha BSC | Bundesliga,CM,76
Ravel Morrison,Lazio | Serie A,CAM,76
André Martins,Sporting CP | Primeira Liga,CM,76
Lucas Digne,Roma | Serie A,LB,76
Adam Maher,PSV | Eredivisie,CAM,76
Hans Vanaken,Club Brugge | Pro League,CAM,76
Rômulo,Spartak Moskva | Russian League,CDM,76
